Sentences,Positive,Negative
at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised,3,-1
says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,1,-1
u s rep phil gingrey gave the government the power to electronically spy on americans without a warrant,1,-1
alex sink funneled three quarters of a million dollars in no bid contracts to bank of america,1,-1
if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor,1,-1
under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate,2,-2
the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person,1,-2
the only time in our history when the debt has been higher than this was the end of world war ii,1,-3
the cost of health care is now the single biggest factor driving down the federal budget deficit,2,-2
during the recession the consumer in his native perversity has begun to save the savings rate is now percent,2,-2
on whether a u s supreme court nominee should be forthcoming at confirmation hearings,3,-1
says one out of three u s homeless men is a veteran,1,-1
says charlie crist supports cuts to the medicare advantage program,2,-1
i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together forget the united states,1,-1
says scott brown co sponsored legislation to let employers deny women coverage for birth control,1,-2
at some point in their lives of women use birth control,1,-1
in the past years egypt has made great strides in political and democratic reform,3,-1
the amount of attention paid this week to chris christie makes the coverage of benghazi pale in significance,1,-1
says u s rep steve southerland voted to keep the shutdown going,1,-1
in rick perrys texas we import nurses from other countries,1,-1
there is a federal criminal law that says its a crime to transport dentures across state lines,1,-2
we built a new prison every days between and to keep up with our mass incarceration explosion of nonviolent offenders,1,-3
sen mccain s tax plan provides virtually nothing to the middle class,1,-2
austin is burdened by the fastest growing tax increases of any major city in the nation,1,-2
phoenix arizona is the no kidnapping capital of the world,1,-1
i belong to the afl cio,1,-1
the insurance commissioner cant do squat about health care,2,-1
says a poll found him the only republican candidate who could beat barack obama in texas and by eight points,1,-1
president ronald reagan sent troops into conflict only in one circumstance which was in grenada we were in a peacekeeping setting in lebanon,1,-2
says david jolly supports privatizing social security,3,-1
did you know us population growth is at its lowest since the great depression,3,-4
the average student in florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones,1,-1
since more americans have died from gunfire than died in all the wars of this countrys history,1,-3
a foreclosure tax that would take effect in could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender,1,-2
the florida department of agricultures website freshfromflorida com can be used to get a permit to carry a loaded hidden gun without ever leaving your house,1,-2
the atlanta streetcar is expected to create jobs during construction totaling more than jobs over the next years,1,-1
raising the minimum wage to an hour would help lift over a million americans out of poverty,1,-2
says secretary of state john kerry when he was a senator flew to managua and met with a communist dictator there daniel ortega and accused the reagan administration of engaging in terrorism,1,-3
nato is opening up a major terror division im sure im not going to get credit for it but that was largely because of what i was saying and my criticism of nato,1,-2
sen obama has always had a percent prochoice rating,1,-1
since gina raimondo took office investment fees on the states pension portfolio have gone up from about million annually to about million,1,-1
the federal debt is growing by more than billion a day,1,-1
under president barack obamas jobs bill states would no longer have to lay off teachers firefighters and police officers,1,-1
of our teachers who are k over of those teachers today are over years old,1,-1
two thirds of wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions,1,-2
under president obamas health care reforms the premium for an average plan for a family didnt go down by per year its gone up about per year,2,-1
the irs also investigated liberal groups groups that had progressive in their name the irs was basically looking at everybody,1,-1
says obama promised unemployment would never go above percent,2,-1
the economy is creating jobs at the fastest pace since,1,-1
president obama decided not to meet with prime minister benjamin netanyahu in new york,1,-1
in a majority of states you can now marry freely but can still be fired for who you love,3,-3
say oregon reps peter defazio and earl blumenauer are socialists who are openly serving in the u s congress,1,-1
rudy giuliani is probably the most underqualified man since george bush to seek the presidency,1,-1
about half of the presidents have been governors half of them senators,1,-1
after britains vote to leave the european union within hours americans lost billion from our k s,1,-1
medicaid spending declined by percent in the second such decline in years,1,-2
says texas constables have died in the line of duty,1,-2
gov rick scott cut the cost of prepaid college tuition by nearly,1,-1
the city of columbus would save million a year if employees had to contribute to their own guaranteed check pensions,1,-1
as florida s cfo i shut down krakow s scam and refunded more than million to josephine and other victims of this con man,1,-3
you had more women getting computer sciences degrees in the s by a factor of plus than you do now,1,-1
the air force wants taxpayers to fund a fantasy football league,1,-2
barack hussein obama will force courts to accept islamic sharia law in domestic disputes,1,-2
about percent of murders and crimes are committed with guns from people who actually legally purchase those guns,1,-4
some neighborhood schools are closing,1,-1
he told gay organizers in massachusetts he would be a stronger advocate for special rights than even ted kennedy,2,-2
the years that i was speaker the florida house consistently offered leaner budgets than the governor offered,1,-1
we are already almost halfway to our goal of creating new jobs in seven years,1,-1
says the u s supreme court found that social security is not guaranteed,3,-1
saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado,1,-3
oregonians have an amazing no cost way to fight abortion with free political donations,3,-3
the president said hes going to bring in syrian and iraqi refugees into this country,1,-2
research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity and thats what they support,2,-2
newt gingrichs immigration plan offers a new doorway to amnesty,1,-1
mr caprio is a career politician who has never worked in the private sector,1,-1
in rhode island percent of workers use the states temporary disability insurance program each year while in new jersey the rate is only percent,1,-1
in just years spending for social security federal health care and interest on the debt will exceed all tax revenue,2,-2
president obama took more money from wall street in the campaign than anybody ever had,1,-1
donald trump has said nuclear proliferation is ok,1,-1
hillary clinton has taken over from lobbyists,1,-1
barack obama has never even worked in business,1,-1
says the arizona immigration law expressly bans racial profiling,1,-1
says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the u s mexico border,1,-1
on the va over veterans have died waiting for care,2,-1
were now spending percent of our economy on government,1,-1
rob cornilles supports privatizing medicare,2,-1
in dan branch tried to expand third trimester abortions in texas,1,-1
we democrats have made steady progress creating jobs and improving our schools,2,-1
michigan and massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there,2,-1
whether you like to admit it or not half our general revenue goes to education,2,-1
im the only one whos fought against developers draining the everglades,1,-3
says ron johnson calls social security a ponzi scheme and wants to privatize the program,2,-1
there are other states and other cities that have the same type of policies that we just passed referring to north carolinas house bill,1,-1
climate change is directly related to the growth of terrorism,1,-3
the jobs bill includes president obamas tax on soup kitchens,1,-2
says the obama administration spent taxpayer dollars on electric cars in finland and windmills in china,1,-2
while sarah was mayor of wasilla she tried to fire our highly respected city librarian because the librarian refused to consider removing from the library some books that sarah wanted removed,3,-2
if milwaukee approves reducing its maximum forfeiture for marijuana possession to the city would have different bicycle violations that have a higher forfeiture,1,-2
we have more illegal immigrants here than we did five years ago,1,-2
says rick perry wrote a letter supporting hillarycare,2,-1
the u s patent and trademark office received zero complaints about the washington redskins name,1,-2
the presidents health care proposals will cause most americans to have their premiums increased not decreased and hundreds of millions of people lose their current insurance coverage,2,-2
mexican immigrants are more law abiding than u s citizens and that is a statistic,1,-1
says chris christie vetoed a jobs package of bills,1,-1
there are already more american jobs in the solar industry than in coal mining,1,-1
says illinois gubernatorial candidate bill bradys first priority after winning the primary was to sponsor a bill that would mass euthanize sheltered dogs and cats in gas chambers,2,-1
barack obama is in an economy thats only worsened since hes been president of the united states,1,-3
romney failed to take action against sanctuary cities in massachusetts,1,-3
says new jersey is down nearly jobs from its pre recession peak and with gov chris christie new jersey has trailed the rest of america when it comes to unemployment for consecutive months,1,-2
says thomas eric duncan came into the united states with an elevated temperature,1,-1
we have been in afghanistan longer now than we have been in any foreign land conducting a war in our nations history,1,-3
gas prices have gone up since obama took office,1,-1
webster sponsored a bill to create a form of marriage that would trap women in abusive relationships,1,-4
says judges get better benefits at a lower cost than everybody else in the state,1,-1
there are a lot of casinos across the country that have gone bankrupt,1,-3
small businesses create percent of the jobs in america,1,-1
seniors with coverage under medicare advantage will give up more than their share because of health care reform,2,-1
over school kids were arrested in florida it makes florida the nations leader in that area,1,-1
if texas were a country our economy would rank in the world,1,-1
there are more oil rigs in operation in the united states than the rest of the world combined,1,-1
payday lenders profit from the poor by charging plus percent interest,2,-2
the social security trust fund is sound without anything being done it would function well into and even after that time with no changes we could pay percent of the benefits that people have earned,2,-1
it is a commitment voters take very seriously the only incumbent in ohio to break his pledge and vote for ted stricklands income tax hike was defeated soundly on tuesday,1,-2
the obama administration shut down the amber alert program because of the government shutdown,1,-1
the republicans have percent of the muslim vote,1,-1
w e see americas prison population exploding with america having a greater percentage of its people behind bars than any other nation in the world,3,-2
says that in a hearing rep gabrielle giffords suggested to gen david petraeus that the army put more emphasis on less environmentally damaging methods like stabbing or clubbing enemy forces in order to minimize the carbon output,2,-2
every single one of the republican senators who just blocked a raise in the minimum wage will receive a cost of living adjustment on january,1,-1
in texas the no name for new male babies many of whom will vote one day is jose,2,-1
marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people,1,-2
under the cash for clunkers program all we ve got to do is go to a local junkyard all you ve got to do is tow it to your house and you re going to get,1,-1
not one republican has the guts to recognize that climate change is real,1,-1
while our people work longer hours for lower wages almost all new income goes to the top percent,1,-1
david dewhurst has a record of promoting an income tax,1,-2
point pleasant beach does not own its beaches they are privately owned and operated by businesses such as jenkinsons,3,-1
in the past year more than percent of americans have changed their mind about the war in afghanistan they conclude we shouldn t be there,1,-3
in the last five years people have been killed along the u s mexico border,1,-4
the state of ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation,1,-2
says obama health reform law denies millions access to affordable insurance,1,-1
says hb hasnt moved the needle one iota on north carolinas economy,1,-1
close to of our federal prison population consists of illegal immigrants,1,-2
says rick scott called education not a core function of the state,1,-1
the family research council according to some government agencies is a terrorist group,1,-3
says rep jim weidner proposed a bill taking away health care for of oregons children,2,-1
says that in the election former gov tom kean had the largest winning margin for a gubernatorial candidate in jersey history,2,-1
obamacare is the biggest tax increase in american history,1,-2
you said that barack obama was not ready to be commander in chief,1,-1
the median male worker in this country has not seen a raise inflation adjusted for years basically,1,-2
milwaukee mayor tom barrett has held the line on property taxes,1,-2
im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than,1,-1
unlike the gridlock in washington more than percent of the bills we passed during this general assembly had bipartisan support,2,-1
josh mandel is lying about his own record the rating of ohios investment fund has not improved,1,-4
rick scott took from a family that leased land for drilling and now he is trying to hide from it,1,-1
on how money from a possible lease of the ohio turnpike would be used,1,-1
at the beginning of the last decade america had a budget surplus of over billion by the time i took office we had a one year deficit of over trillion and projected deficits of trillion over the next decade,1,-2
the president has had of his nominations confirmed only four defeated,1,-1
u s taxpayers are being forced to fund feisal abdul raufs trip to the middle east,1,-2
milwaukee county taxpayers paid to settle a lawsuit over a decision by sheriff david a clarke jr to use untrained corrections officers rather than deputies to patrol the lakefront,1,-2
there are justice department policies against fbi director james comey discussing details of a federal investigation so close to an election,1,-2
democratic presidents have been considerably more effective at creating private sector jobs,1,-1
joe biden voted against the first gulf war he opposed the surge he wanted to partition iraq,1,-3
says rush limbaugh made it clear hed rather see the country fail than president barack obama succeed,3,-3
one percent of the american people make over percent of all the income in america that wasnt the way before george bush became president,1,-1
military recruiting went on at harvard every single day throughout the time kagan was there,1,-1
says that under rick perrys plan texas has cut funding for public schools by,1,-1
says david perdue wants to abolish the u s department of education which would cost georgia schools billion a year and eliminate millions in student loans,1,-2
the paul ryan budget proposal would privatize medicare,1,-1
high school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court,1,-1
the united states imprisons more than any nation in the world,1,-2
says marco rubio is the one for an open border,1,-1
over years federal spending on education has grown by percent but test scores remain flat,1,-1
says cuts to medicare affect people who have already paid in we paid for it,1,-1
david alameel is giving thousands of dollars to support the republican party candidates including john cornyn and greg abbott,2,-1
the american healthcare system burns percent of our national gdp nobody else is close,1,-2
providences port is miles closer to europe than any other eastern port,1,-1
says you need a photo id to purchase sudafed in texas,1,-1
twenty percent of housing in portlands pearl district is affordable,1,-1
says allowing the payroll tax holiday to expire would end up costing another estimated jobs in,1,-2
hillary clinton supported nafta and permanent china trade pennsylvania lost thousands of jobs,2,-1
numerous studies have shown that these so called right to work laws do not generate jobs and economic growth,1,-1
obama s budget plan would take national debt up to about percent of gross national product historically it s been about percent,1,-2
says hillary clinton said the veterans affairs scandal is over exaggerated she said she was satisfied with what was going on,2,-3
we now have driven health care costs down to the lowest theyve been in years,2,-2
president barack obama s initial response when we heard about the christmas underwear bomber was to say that this was the act of an isolated extremist,1,-2
says sen sherrod brown admitted that his billion stimulus law failed and after specifically attacking republicans for wanting to lower americans taxes he now claims that his stimulus bill didnt do enough to lower taxes,1,-3
in the s a lot of people got rich and they had to pay a top tax rate of percent,1,-2
the charleston s c shootershould have never been given a gun but the universal background check was not fast enough,1,-2
sixty five percent of the iraqi people now say it s okay to shoot an american soldier,1,-2
twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional,2,-2
says gov chris christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years,1,-2
warren buffett still does support me,2,-1
says george lemieux was one of two republicans who voted for president barack obamas jobs bill,1,-1
a precinct in the allen west patrick murphy recount has registered voters in guatemalan community and the tally showed voted,1,-1
about people that were on unemployment when i took office are not on unemployment now,1,-1
one person kathleen sebelius was going to determine whether or not year old lung patient sarah murnaghan would live or die,1,-1
ron klein repeatedly voted in favor of amnesty for illegal immigrants,2,-2
local law enforcement will have access to the obamacare data hubs treasure trove of personal info,2,-2
during his tenure as mayor he saw houstons crime rates drop to the lowest levels in more than years,1,-2
barack obamas columbia university id says he was a foreign student and went by barry soetoro,1,-2
john mccain one of the richest people in a senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations,1,-3
terry mcauliffe wants to raise your taxes to pay for his infinite promises,2,-2
hypocrisy at the clinton foundation top male staff made on average while top female staff made from,1,-2
since the federal violence against women act was adopted in cases of domestic violence have fallen by percent,1,-4
says federal law enforcement officers cut off questioning of the christmas day underwear bomber by giving him a miranda warning after minutes of questioning,1,-2
on legalizing illegal immigrants,1,-2
nearly half of all pregnancies in the u s are unintended,1,-1
we are borrowing saudi money for saudi oil with the result being dependency and debt,1,-1
says there are homes for sale on and around oswego lake right now for under that anyone is welcome to buy,2,-1
since the president became the president we have lost million jobs in the private sector but you know whos done ok and whos not complaining today the public sector weve gained public sector jobs,2,-1
the top percent pay over half of the entire revenue for this country,1,-1
the difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of in saved property tax money,2,-2
chris christie has not increased the taxes on anyone,1,-2
the united states does not have a system through which growers and dairies can bring a workforce legally into the u s,1,-1
says he never said he would keep education funding the same,1,-1
since college tuition nationwide has gone up something like four times the rate of inflation,2,-2
says sen rob portman said it would be irresponsible not to cut medicare,1,-2
most of if not all of the dekalb school construction projects always came in on or were under budget,1,-1
palin supported right wing extremist pat buchanan for president in,2,-1
says sen sherrod brown voted to block american energy production and increase energy taxes,1,-2
says jeanne shaheen voted for a measure that would have amounted to a new national energy tax,1,-2
washington d c had some of the strictest gun laws in the country and when they passed them violence skyrocketed,1,-4
seven presidents before barack obama republicans and democrats tried to expand health care to all americans,2,-1
while fighting a move to toughen penalties for workplace gender discrimination state sen glenn grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies,2,-3
if you put the billion in revenue raised over years by the buffett rule into infrastructure you could create infrastructure jobs,1,-1
what is the proper collective noun for a group of baboons believe it or not a congress,1,-1
i have repeatedly said that many of the predatory loans that were made in the mortgage system did target african american and latino communities,1,-1
starting in december million jobs were created in texas in that same period the rest of the country lost jobs,1,-1
the health reform legislation which washington passed last year has made it more difficult to hire because its increased costs for employers,1,-2
the cbo the congressional budget office has said that obamacare will kill jobs,1,-2
thompson voted against caps on damages and almost anything that would make our legal system fairer,1,-2
texas this fiscal year will have more money in reserve than the other states combined,1,-1
on using the strategic petroleum reserve,1,-1
immigrants are more fertile,1,-1
the proposed education changes will not cut one teacher s pay,1,-1
the number of uninsured people in massachusetts is about the same as it was when the mandates were passed in,1,-1
firearms homicides are down about percent since texas passed concealed gun permit law,1,-2
upwards of percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound,1,-1
we spend less on defense today as of gdp than at any time since pearl harbor,1,-1
if you got rid of the income tax today you d have about as much revenue as we had years ago,1,-2
says scott walker wants to ban common forms of birth control including the pill,1,-1
jason kander supports obamas plan to bring the remaining suspected terrorists to u s soil,2,-3
shelby county donated im sorry gave schools to the city of memphis,1,-2
top u s intelligence officials have toldevery member of congress including the president were about to be attacked in a serious way because of the threat emanating from syria and iraq,1,-3
have the suburbs been inundated with former residents of atlanta housing projects absolutely not,1,-2
in july mitt romney helped locate the missing teenage daughter of a partner at bain capital,1,-1
blames mike mcintyre and nancy pelosi for the second straight year of no cost of living increases for social security beneficiaries,2,-2
the government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it,2,-1
there are mechanisms in place to shut down the internet privately,1,-1
the american people support defunding obamacare and oppose shutting down the government,2,-2
report that gop insisting on changes to social security as part of fiscalcliff false btw those changes are supported by barackobama,2,-1
nobody has played clips over and over of president obama saying if they bring a knife to the fight well bring a gun,1,-3
the people of rhode island dont want same sex marriage,1,-1
rep paul ryans medicare plan lines the pockets of the private insurance companies increases costs for seniors and does not reduce the deficit,1,-2
this year in congress connie mack iv has missed almost half of his votes,1,-2
of our kids drop out of high school cannot go to college or start a career,1,-2
not even old gen eisenhower saluted military personnel as president,1,-1
if wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts,1,-1
you cant get on an airplane but more than people on that list have been able to buy a gun,1,-2
percent of republicans support the affordable care act,2,-1
for every spent on afterschool programs we can save over almost in crime costs down the line,2,-2
the federal government has trillion in cash flow so we can pay our bills and wont default,2,-1
says alex sink failed florida homeowners by using predatory lending practices,1,-3
over percent of small and mid size banks that loan money to small businesses have been wiped out since dodd frank has passed,1,-1
you cant check out a library book without a photo id,1,-1
says that starbucks took christmas off of their brand new cups,1,-1
atmospheric conditions could push a footballs pressure down approximately one and a half pounds per square inch,1,-2
hillary clinton supports unlimited abortion on demand up until the moment of birth including partial birth abortion with taxpayer funding,2,-2
under legislation that has cleared the georgia house some children who are legal refugees could obtain state scholarships to attend private schools,1,-2
we went from losing million jobs in the last six months of the bush administration adding almost private sector jobs in the first six months of the year,1,-3
the star ohio fund just received the highest possible credit rating one of these funds can receive,1,-1
taxpayers are on the hook for less than a third of the proposed new atlanta falcons stadium and those funds are repaid from money that comes from outsiders,1,-2
in the last months businesses have created more than million jobs last year they created the most jobs since,1,-1
every year more than million are leaving missouri for the lone star state,1,-2
a college loan is the only loan in the united states that you cannot refinance when interest rates go down,2,-1
the house of representatives has never passed a resolution of disapproval to condemn a member s behavior,1,-2
we are younger than our competitors and this is entirely because of immigration,1,-1
recent international reports show the united states near the bottom among industrialized nations for k academic achievement,1,-1
says million people in this country cant find a full time job million cant see a doctor when theyre sick million people need government help to feed themselves and million families owe more than the value of their home,2,-2
the policy mistakes that the clintons made got us in large degree to the situation that we are in today with mass incarceration,1,-2
says he raised average family income by percent during his tenure as arkansas governor,1,-1
they tried to give us million to build a high speed train that goes miles an hour,1,-1
says the cbo estimates that fully extending the bush tax cuts would add million jobs in and million jobs in,1,-2
president reagan did it raised the debt ceiling times george w bush did it seven times,1,-1
according to david cay johnston the average american pays about percent of their income to federal taxes the richest americans pay about percent of their income to federal taxes,1,-2
most young americans right now theyre not covered by health insurance,1,-1
in the corporate income tax accounted for percent of all federal tax revenue today despite record breaking profits corporate taxes bring in less than percent,2,-2
over the last years texas created percent of the net new jobs nationwide,1,-1
says two thirds of groups targeted for irs scrutiny were not conservative,1,-1
in the class of at patrice lumumba university in moscow mahmoud abbas was one of the members of that class and so was ali khamenei and thats where they first established relationships with the young vladimir putin,1,-1
last week the texas state board of education sboe led by rick perrys appointee voted to remove thomas jefferson from social studies textbook standards thats right thomas jefferson was deleted from a list of historical figures who inspired political change,3,-1
as a u s senator with salary and perks bernie is in the top percent but still paid only percent in taxes last year,1,-2
you know we can t just pull out now the truth of the matter is if we started today it would take one year one year to get troops physically out of iraq logistically,2,-1
from the richest americans increased their net wealth by more than billion yet the republican budget would not require these americans to contribute one penny to deficit reduction,1,-2
says that while foster was mayor rick kriseman was ineffective in the florida house of representatives because there was no legislation that passed the house that had krisemans name on it,1,-2
says texas routinely gets a lot more federal spending than it pays in taxes,1,-2
cell phone numbers go public this month,1,-1
says it has offered million in savings through and million in savings over the next years in contract negotiations with the city of milwaukee,1,-1
clackamas county commissioners approved a re negotiated agreement to lower the countys contribution to trimets portland milwaukie light rail project to million from million,1,-1
says texas has different felonies you can commit with an oyster,1,-1
the obama administration is unwinding our nations welfare to work requirements,1,-1
electric car sales in georgia have dropped dramatically since a tax credit was eliminated and a annual registration fee was imposed july,1,-2
the redskins training camp deal generated million in new private investment in the city,1,-1
the gop budget plan would cut nearly a million jobs,1,-1
there are more people living in this country who were not born here than at anytime in the history of the country,1,-1
says hillary clinton defended syrias president assad as a possible reformer at the start of that countrys civil war,1,-3
the postal services financial losses result from a law that drains billion a year from post office revenue while the postal service is forced to overpay billions more into federal accounts,1,-3
as many as six federal department budget bills have been delayed because of opposition to amendments that would ban confederate battle flag sales at federal building gift shops,1,-2
shes voted for tax increases hurting the middle class and small businesses,1,-3
now in the house of representatives we have different jobs bills that have passed and almost all of them have been bipartisan,1,-1
sheila jackson lee of texas said hey all you wrinkly white aged has beens its time for you to die and let the next generation have your spot on the planet,2,-1
republican small business tax cut bill spends million for better google searches not job creation,1,-2
a state law would allow the operator of an iron ore mine in northern wisconsin to fill in pristine streams and ponds with mine waste,1,-2
america is one of the highest taxed nations in the world,1,-2
if black america were a country itd be the th wealthiest nation in the world,1,-1
since republicans took over after the election the graduation rate in wisconsin has gone from percent to percent the black graduation rate has gone from percent to percent the latino graduation rate has gone from percent to percent,1,-1
it has been estimated that nearly percent of all guns sold in america are sold by private unlicensed sellers either online or through gun shows,1,-2
was the deadliest year of the war in afghanistan for american forces,1,-3
florida teachers are already paid below the national average,1,-1
since rick perry became governor texas has gone from th in the country to th in the population that graduates from high school,1,-1
says amanda fritz manages less than percent of city operations,1,-1
the streetcar project planned by mayor tom barrett would be a s style trolley,1,-1
americans in the last years have more than doubled the amount of money we are spending per child on education and the results have gotten worse not better,1,-3
polls show that floridians dont want to repeal the affordable care act,2,-2
says congressman bill pascrell voted to remove the public option from the affordable health care act,2,-1
lawmakers were paid for their off season efforts to for the first time take the lead in drawing borders for two would be cities,1,-1
greg abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue,1,-4
on offshore drilling for energy,1,-1
under a proposed medical marijuana amendment in florida you dont get refills you get it forever,1,-1
a data storing microchip would be implanted in the majority of people who opt to become covered by the public health care option,2,-1
enacting the right to carry act would amount to expanding the rights of sex offenders terrorists child predators and abusers to carry concealed weapons across state lines,1,-4
i haven t missed a vote since,1,-2
says the treasurers office has saved million in management costs for the oversight of public investments,2,-2
says georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools,1,-1
jorge elorza wants to impose a municipal income tax,1,-2
the supreme court cant overrule the other two branchesof government,3,-1
roughly of ri has a criminal record,1,-2
nathan deal cut the hope scholarship program so that literally georgians will not be able to go to college or get technical training that they so badly needed to raise you know give them a chance at a good job,3,-2
as governor of arkansas i cut taxes and fees almost times saving the taxpayers almost million i left a surplus of nearly million,1,-2
i havent raised taxes in the time ive been the governor of new jersey,1,-2
massachusetts public schools teach kids as young as kindergartners about gay marriage,1,-2
